date,revision,mean_additional,mean_total,n_products,n_countries,weighted_etr,weighted_etr_additional,matched_imports_b,total_imports_b
2025-01-01,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-02,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-03,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-04,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-05,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-06,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-07,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-08,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-09,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-10,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-11,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-12,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-13,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-14,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-15,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
2025-01-16,basic,0.22834119277478537,0.23277632729722889,18969,240,0.03776436158797395,0.037032813143411336,461.6330438,3123.773412637
