hts10,cty_code,usmca_share
0203229000,1220,0
0203229000,2010,0
0203292000,1220,1
0203292000,2010,1
0203294000,1220,0
0203294000,2010,0
0204100000,1220,0
0204100000,2010,0
0204210000,1220,0
0204210000,2010,0
0204222010,1220,0
0204222010,2010,0
0204222020,1220,0
0204222020,2010,0
0204222030,1220,0
0204222030,2010,0
0204222090,1220,1
0204222090,2010,1
0204224000,1220,0
0204224000,2010,0
0204232000,1220,0
0204232000,2010,0
0204234000,1220,0
0204234000,2010,0
0204300000,1220,0
0204300000,2010,0
0204410000,1220,0
0204410000,2010,0
0204422010,1220,0
0204422010,2010,0
0204422020,1220,0
0204422020,2010,0
0204422030,1220,0
0204422030,2010,0
0204422090,1220,0
0204422090,2010,0
0204424000,1220,0
0204424000,2010,0
0204432000,1220,1
0204432000,2010,0
0204434000,1220,0
0204434000,2010,0
0204500000,1220,0
0204500000,2010,0
0205000000,1220,0
0205000000,2010,0
0206100000,1220,0
0206100000,2010,0
0206210000,1220,0
0206210000,2010,0
0206220000,1220,0
0206220000,2010,0
0206290000,1220,0
0206290000,2010,0
0206300000,1220,0
0206300000,2010,0
0206410000,1220,0
0206410000,2010,0
0206490000,1220,0
0206490000,2010,0
0206800000,1220,0
0206800000,2010,0
0206900020,1220,0
0206900020,2010,0
0206900040,1220,0
0206900040,2010,0
0207110020,1220,0.9997492669
0207110020,2010,0
0207110040,1220,1
0207110040,2010,0
0207120020,1220,1
0207120020,2010,0
0207120040,1220,1
0207120040,2010,0
0207130000,1220,1
0207130000,2010,0
0207140020,1220,1
0207140020,2010,0
0207140040,1220,0.9984404596
0207140040,2010,1
0207240000,1220,1
0207240000,2010,0
0207252000,1220,1
0207252000,2010,0
0207254000,1220,1
0207254000,2010,0
0207260000,1220,1
0207260000,2010,0
0207270020,1220,1
0207270020,2010,0
0207270040,1220,0.9992460148
0207270040,2010,1
0207410000,1220,1
0207410000,2010,0
0207420000,1220,1
0207420000,2010,0
0207430000,1220,0
0207430000,2010,0
0207440000,1220,1
0207440000,2010,0
0207450020,1220,1
0207450020,2010,0
0207450040,1220,1
0207450040,2010,0
0207510000,1220,0
0207510000,2010,0
0207520000,1220,0
0207520000,2010,0
0207530000,1220,0
0207530000,2010,0
0207540000,1220,0
0207540000,2010,0
0207550020,1220,0
0207550020,2010,0
0207550040,1220,0
0207550040,2010,0
0207601000,1220,0
0207601000,2010,0
0207602000,1220,0
0207602000,2010,0
0207603000,1220,0
0207603000,2010,0
0207604000,1220,0
0207604000,2010,0
0207606020,1220,0
0207606020,2010,0
0207606040,1220,0
0207606040,2010,0
0208100000,1220,1
0208100000,2010,0
0208300000,1220,0
0208300000,2010,0
0208400100,1220,0
0208400100,2010,0
0208500000,1220,0
0208500000,2010,0
0208600000,1220,0
0208600000,2010,0
0208902000,1220,0
0208902000,2010,0
0208902500,1220,0
0208902500,2010,0
0208903000,1220,1
0208903000,2010,0
0208909100,1220,1
0208909100,2010,0
0209100000,1220,0.9990107704
0209100000,2010,0
0209900000,1220,1
0209900000,2010,0
0210110010,1220,1
0210110010,2010,0
0210110020,1220,1
0210110020,2010,0
0210120020,1220,1
0210120020,2010,1
0210120040,1220,1
0210120040,2010,0
0210190010,1220,1
0210190010,2010,0
0210190090,1220,0.9985923444
0210190090,2010,1
0210200000,1220,0
0210200000,2010,0
0210910000,1220,0
0210910000,2010,0
0210920100,1220,0
0210920100,2010,0
0210930000,1220,0
0210930000,2010,0
0210992000,1220,1
0210992000,2010,0
0210999100,1220,0
0210999100,2010,0
0301110010,1220,0
0301110010,2010,0
0301110020,1220,0
0301110020,2010,0
0301110090,1220,0
0301110090,2010,0
0301190000,1220,0
0301190000,2010,0
0301910000,1220,0
0301910000,2010,0
0301920000,1220,0
0301920000,2010,0
0301930210,1220,0
