hts8,list,ch99_code
03034501,3,9903.88.03
03034600,3,9903.88.03
03034902,3,9903.88.03
03035100,3,9903.88.03
03035300,3,9903.88.03
03035400,3,9903.88.03
03035500,3,9903.88.03
03035600,3,9903.88.03
03035700,3,9903.88.03
03035900,3,9903.88.03
03036300,3,9903.88.03
03036400,3,9903.88.03
03036500,3,9903.88.03
03036600,3,9903.88.03
03036700,3,9903.88.03
03036800,3,9903.88.03
03038100,3,9903.88.03
03038200,3,9903.88.03
03038300,3,9903.88.03
03038400,3,9903.88.03
03038900,3,9903.88.03
03039120,3,9903.88.03
03039140,3,9903.88.03
03039200,3,9903.88.03
03039900,3,9903.88.03
03043100,3,9903.88.03
03043200,3,9903.88.03
03043300,3,9903.88.03
03043900,3,9903.88.03
03044100,3,9903.88.03
03044200,3,9903.88.03
03044300,3,9903.88.03
03044400,3,9903.88.03
03044500,3,9903.88.03
03044600,3,9903.88.03
03044700,3,9903.88.03
03044800,3,9903.88.03
03044901,3,9903.88.03
03045101,3,9903.88.03
03045200,3,9903.88.03
03045300,3,9903.88.03
03045400,3,9903.88.03
03045500,3,9903.88.03
03045600,3,9903.88.03
03045700,3,9903.88.03
03045900,3,9903.88.03
03046100,3,9903.88.03
03046200,3,9903.88.03
03046300,3,9903.88.03
03046900,3,9903.88.03
03047250,3,9903.88.03
03047310,3,9903.88.03
03047350,3,9903.88.03
03047410,3,9903.88.03
03047450,3,9903.88.03
03047910,3,9903.88.03
03047950,3,9903.88.03
03048210,3,9903.88.03
03048250,3,9903.88.03
03048310,3,9903.88.03
03048350,3,9903.88.03
03048400,3,9903.88.03
03048500,3,9903.88.03
03048600,3,9903.88.03
03048700,3,9903.88.03
03048800,3,9903.88.03
03048910,3,9903.88.03
03048950,3,9903.88.03
03049110,3,9903.88.03
03049190,3,9903.88.03
03049210,3,9903.88.03
03049290,3,9903.88.03
03049310,3,9903.88.03
03049390,3,9903.88.03
03049490,3,9903.88.03
03049510,3,9903.88.03
03049600,3,9903.88.03
03049700,3,9903.88.03
03049911,3,9903.88.03
03049991,3,9903.88.03
03052020,3,9903.88.03
03052040,3,9903.88.03
03053101,3,9903.88.03
03053200,3,9903.88.03
03053920,3,9903.88.03
03053940,3,9903.88.03
03053961,3,9903.88.03
03054100,3,9903.88.03
03054200,3,9903.88.03
03054300,3,9903.88.03
03054401,3,9903.88.03
03054920,3,9903.88.03
03054940,3,9903.88.03
03055100,3,9903.88.03
03055200,3,9903.88.03
03055300,3,9903.88.03
03055400,3,9903.88.03
03055900,3,9903.88.03
03056120,3,9903.88.03
03056140,3,9903.88.03
03056200,3,9903.88.03
03056320,3,9903.88.03
03056340,3,9903.88.03
03056360,3,9903.88.03
03056410,3,9903.88.03
03056450,3,9903.88.03
03056910,3,9903.88.03
03056920,3,9903.88.03
03056930,3,9903.88.03
03056940,3,9903.88.03
03056950,3,9903.88.03
03056960,3,9903.88.03
03057100,3,9903.88.03
03057200,3,9903.88.03
03057900,3,9903.88.03
03061100,3,9903.88.03
03061200,3,9903.88.03
03061420,3,9903.88.03
03061440,3,9903.88.03
03061500,3,9903.88.03
03061600,3,9903.88.03
03061700,3,9903.88.03
03061901,3,9903.88.03
03063100,3,9903.88.03
03063200,3,9903.88.03
03063320,3,9903.88.03
03063340,3,9903.88.03
03063400,3,9903.88.03
03063500,3,9903.88.03
03063600,3,9903.88.03
03063901,3,9903.88.03
03069100,3,9903.88.03
03069200,3,9903.88.03
03069320,3,9903.88.03
03069340,3,9903.88.03
03069400,3,9903.88.03
03069500,3,9903.88.03
03069901,3,9903.88.03
03071100,3,9903.88.03
03071200,3,9903.88.03
03071901,3,9903.88.03
03072100,3,9903.88.03
03072200,3,9903.88.03
03072901,3,9903.88.03
03073100,3,9903.88.03
03073200,3,9903.88.03
03073901,3,9903.88.03
03074200,3,9903.88.03
03074300,3,9903.88.03
03074901,3,9903.88.03
03075100,3,9903.88.03
03075200,3,9903.88.03
03075901,3,9903.88.03
03076000,3,9903.88.03
03077100,3,9903.88.03
03077200,3,9903.88.03
03077901,3,9903.88.03
03078100,3,9903.88.03
03078200,3,9903.88.03
03078300,3,9903.88.03
03078400,3,9903.88.03
03078700,3,9903.88.03
03078800,3,9903.88.03
03079103,3,9903.88.03
03079201,3,9903.88.03
03079903,3,9903.88.03
03081100,3,9903.88.03
03081200,3,9903.88.03
03081901,3,9903.88.03
03082100,3,9903.88.03
03082200,3,9903.88.03
03082901,3,9903.88.03
03083000,3,9903.88.03
03089001,3,9903.88.03
03091005,3,9903.88.03
03091090,3,9903.88.03
03099010,3,9903.88.03
03099020,3,9903.88.03
03099030,3,9903.88.03
03099040,3,9903.88.03
03099050,3,9903.88.03
03099060,3,9903.88.03
03099090,3,9903.88.03
04011000,4A,9903.88.15
04012020,4A,9903.88.15
04012040,4A,9903.88.15
04014002,4A,9903.88.15
04014005,4A,9903.88.15
04014025,4A,9903.88.15
04015002,4A,9903.88.15
04015005,4A,9903.88.15
04015025,4A,9903.88.15
04015042,4A,9903.88.15
04015050,4A,9903.88.15
04015075,4A,9903.88.15
04021005,4A,9903.88.15
04021010,4A,9903.88.15
04021050,4A,9903.88.15
04022102,4A,9903.88.15
04022105,4A,9903.88.15
04022125,4A,9903.88.15
04022127,4A,9903.88.15
04022130,4A,9903.88.15
04022150,4A,9903.88.15
04022173,4A,9903.88.15
04022175,4A,9903.88.15
04022190,4A,9903.88.15
04022905,4A,9903.88.15
04022910,4A,9903.88.15
04022950,4A,9903.88.15
04029103,4A,9903.88.15
04029106,4A,9903.88.15
04029110,4A,9903.88.15
04029130,4A,9903.88.15
04029170,4A,9903.88.15
04029190,4A,9903.88.15
04029903,4A,9903.88.15
04029906,4A,9903.88.15
04029910,4A,9903.88.15
04029930,4A,9903.88.15
04029945,4A,9903.88.15
04029955,4A,9903.88.15
04029968,4A,9903.88.15
04029970,4A,9903.88.15
04029990,4A,9903.88.15
04032005,4A,9903.88.15
04032010,4A,9903.88.15
04032050,4A,9903.88.15
04032090,4A,9903.88.15
04039002,4A,9903.88.15
04039004,4A,9903.88.15
04039016,4A,9903.88.15
04039020,4A,9903.88.15
04039037,4A,9903.88.15
04039041,4A,9903.88.15
04039045,4A,9903.88.15
04039047,4A,9903.88.15
04039051,4A,9903.88.15
04039055,4A,9903.88.15
04039057,4A,9903.88.15
04039061,4A,9903.88.15
04039065,4A,9903.88.15
04039072,4A,9903.88.15
04039074,4A,9903.88.15
04039078,4A,9903.88.15
04039085,4A,9903.88.15
04039087,4A,9903.88.15
04039090,4A,9903.88.15
04039095,4A,9903.88.15
04041005,3,9903.88.03
04041008,3,9903.88.03
04041011,3,9903.88.03
04041015,3,9903.88.03
04041020,3,9903.88.03
04041048,3,9903.88.03
04041050,3,9903.88.03
04041090,3,9903.88.03
04049010,4A,9903.88.15
04049028,4A,9903.88.15
04049030,4A,9903.88.15
04049050,4A,9903.88.15
04049070,4A,9903.88.15
04051005,3,9903.88.03
04051010,3,9903.88.03
04051020,3,9903.88.03
04052010,4A,9903.88.15
04052020,4A,9903.88.15
04052030,4A,9903.88.15
04052040,4A,9903.88.15
04052050,4A,9903.88.15
04052060,4A,9903.88.15
04052070,4A,9903.88.15
04052080,4A,9903.88.15
04059005,4A,9903.88.15
04059010,4A,9903.88.15
04059020,4A,9903.88.15
04061002,4A,9903.88.15
04061004,4A,9903.88.15
04061008,4A,9903.88.15
04061012,4A,9903.88.15
04061014,4A,9903.88.15
04061018,4A,9903.88.15
04061024,4A,9903.88.15
04061028,4A,9903.88.15
04061034,4A,9903.88.15
04061038,4A,9903.88.15
04061044,4A,9903.88.15
04061048,4A,9903.88.15
04061054,4A,9903.88.15
04061058,4A,9903.88.15
04061064,4A,9903.88.15
04061068,4A,9903.88.15
04061074,4A,9903.88.15
04061078,4A,9903.88.15
04061084,4A,9903.88.15
04061088,4A,9903.88.15
04061095,4A,9903.88.15
04062010,4A,9903.88.15
04062015,4A,9903.88.15
