old_hts10,new_hts10,revision_from,revision_to,change_type,description_old,description_new,similarity
NA,3004390030,2026_rev_1,2026_rev_2,added,NA,containing levothyroxine or its salts,NA
NA,3004390040,2026_rev_1,2026_rev_2,added,NA,containing norepinephrine,NA
NA,3004390045,2026_rev_1,2026_rev_2,added,NA,containing vasopressin,NA
NA,3004909203,2026_rev_1,2026_rev_2,added,NA,containing acyclovir or its salts,NA
NA,3004909205,2026_rev_1,2026_rev_2,added,NA,"containing valganciclovir, peramivir or their salts",NA
NA,3004909207,2026_rev_1,2026_rev_2,added,NA,containing fluconazole or its salts,NA
NA,3004909209,2026_rev_1,2026_rev_2,added,NA,containing metronidazole or its salts,NA
NA,3004909211,2026_rev_1,2026_rev_2,added,NA,sulfonamides,NA
NA,3004909220,2026_rev_1,2026_rev_2,added,NA,containing hydralazine or its salts,NA
NA,3004909224,2026_rev_1,2026_rev_2,added,NA,"containing argatroban, adenosine, amlodipine, esmolol, dobutamine, phenoxybenzamine or their salts",NA
NA,3004909226,2026_rev_1,2026_rev_2,added,NA,tolmetin,NA
NA,3004909228,2026_rev_1,2026_rev_2,added,NA,tolmetin sodium (anhydrous),NA
NA,3004909235,2026_rev_1,2026_rev_2,added,NA,containing tramadol,NA
NA,3004909241,2026_rev_1,2026_rev_2,added,NA,"containing levetiracetam, phenytoin or their salts",NA
NA,3004909245,2026_rev_1,2026_rev_2,added,NA,containing olanzapine or its salts,NA
NA,3004909247,2026_rev_1,2026_rev_2,added,NA,containing rocuronium or its salts,NA
NA,3004909248,2026_rev_1,2026_rev_2,added,NA,containing succinylcholine or its salts,NA
NA,3004909252,2026_rev_1,2026_rev_2,added,NA,laxatives,NA
NA,3004909253,2026_rev_1,2026_rev_2,added,NA,antacids,NA
NA,3004909254,2026_rev_1,2026_rev_2,added,NA,containing famotidine or its salts,NA
NA,3004909258,2026_rev_1,2026_rev_2,added,NA,containing loperamide or its salts,NA
NA,3004909261,2026_rev_1,2026_rev_2,added,NA,containing furosemide and its salts,NA
NA,3004909262,2026_rev_1,2026_rev_2,added,NA,containing hydrochlorothiazide or its salts,NA
NA,3004909264,2026_rev_1,2026_rev_2,added,NA,containing calcium gluconate,NA
NA,3004909265,2026_rev_1,2026_rev_2,added,NA,containing potassium chloride,NA
NA,3004909269,2026_rev_1,2026_rev_2,added,NA,containing diphenhydramine or its salts,NA
NA,3004909272,2026_rev_1,2026_rev_2,added,NA,containing timolol maleate,NA
NA,3004909274,2026_rev_1,2026_rev_2,added,NA,containing heparin sodium or its salts,NA
NA,3004909275,2026_rev_1,2026_rev_2,added,NA,containing zoledronic acid or its salts,NA
NA,3504005010,2026_rev_1,2026_rev_2,added,NA,certified organic,NA
NA,3801900010,2026_rev_1,2026_rev_2,added,NA,active anode material containing silicon,NA
NA,3815120010,2026_rev_1,2026_rev_2,added,NA,with platinum group metals as the active substance,NA
NA,3815120090,2026_rev_1,2026_rev_2,added,NA,other,NA
NA,7306301010,2026_rev_1,2026_rev_2,added,NA,"internally coated or lined with a non-electrically insulating material, suitable for use as electrical conduit",NA
NA,7306301090,2026_rev_1,2026_rev_2,added,NA,other,NA
NA,7602000045,2026_rev_1,2026_rev_2,added,NA,recyclable aluminum auto and truck wheels,NA
NA,8301600010,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8301600060,2026_rev_1,2026_rev_2,added,NA,other,NA
NA,8301700010,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8301700060,2026_rev_1,2026_rev_2,added,NA,other,NA
NA,8415908010,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8415908020,2026_rev_1,2026_rev_2,added,NA,other,NA
NA,8415908050,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8415908070,2026_rev_1,2026_rev_2,added,NA,other,NA
NA,8431491070,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8431499032,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8431499039,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8431499092,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys,NA
NA,8482910015,2026_rev_1,2026_rev_2,added,NA,of copper or copper alloys as described in statistical note 6 to this chapter,NA
NA,8507600030,2026_rev_1,2026_rev_2,added,NA,"battery energy storage systems fully encased within a housing, as described in statistical note 2 to this chapter",NA
NA,8541290065,2026_rev_1,2026_rev_2,added,NA,"with an operating frequency 30 mhz or greater but less than 30,000 mhz",NA
NA,8541290085,2026_rev_1,2026_rev_2,added,NA,"with an operating frequency 30,000 mhz or greater",NA
NA,8541900010,2026_rev_1,2026_rev_2,added,NA,frames for photovoltaic cells assembled in modules or made up into panels (as covered by subheading 8541.43.00),NA
NA,9401999040,2026_rev_1,2026_rev_2,added,NA,of seats of a kind used for aircraft,NA
NA,7602000035,2026_rev_2,2026_rev_3,added,NA,recyclable used beverage containers,NA
