hts8,ch99_code,category
38180000,9903.01.13,energy_ca
38249931,9903.01.13,energy_ca
38249935,9903.01.13,energy_ca
38249936,9903.01.13,energy_ca
38260010,9903.01.13,energy_ca
38260030,9903.01.13,energy_ca
68151100,9903.01.13,energy_ca
68151200,9903.01.13,energy_ca
68151300,9903.01.13,energy_ca
68151900,9903.01.13,energy_ca
71101100,9903.01.13,energy_ca
71101900,9903.01.13,energy_ca
71102100,9903.01.13,energy_ca
71102900,9903.01.13,energy_ca
71103100,9903.01.13,energy_ca
71103900,9903.01.13,energy_ca
71104100,9903.01.13,energy_ca
71104900,9903.01.13,energy_ca
71129201,9903.01.13,energy_ca
71151000,9903.01.13,energy_ca
71159060,9903.01.13,energy_ca
71189000,9903.01.13,energy_ca
72021110,9903.01.13,energy_ca
72021150,9903.01.13,energy_ca
72021910,9903.01.13,energy_ca
72021950,9903.01.13,energy_ca
72023000,9903.01.13,energy_ca
72024100,9903.01.13,energy_ca
72024910,9903.01.13,energy_ca
72024950,9903.01.13,energy_ca
72025000,9903.01.13,energy_ca
72026000,9903.01.13,energy_ca
72028000,9903.01.13,energy_ca
72029100,9903.01.13,energy_ca
72029200,9903.01.13,energy_ca
72029340,9903.01.13,energy_ca
72029380,9903.01.13,energy_ca
72029910,9903.01.13,energy_ca
72042100,9903.01.13,energy_ca
72044100,9903.01.13,energy_ca
72044900,9903.01.13,energy_ca
72051000,9903.01.13,energy_ca
72052900,9903.01.13,energy_ca
74050060,9903.01.13,energy_ca
74099010,9903.01.13,energy_ca
74099050,9903.01.13,energy_ca
74099090,9903.01.13,energy_ca
75011000,9903.01.13,energy_ca
75012000,9903.01.13,energy_ca
75021000,9903.01.13,energy_ca
75022000,9903.01.13,energy_ca
75030000,9903.01.13,energy_ca
75040000,9903.01.13,energy_ca
76141010,9903.01.13,energy_ca
76141050,9903.01.13,energy_ca
76149040,9903.01.13,energy_ca
76149050,9903.01.13,energy_ca
78019100,9903.01.13,energy_ca
79011100,9903.01.13,energy_ca
79011210,9903.01.13,energy_ca
79011250,9903.01.13,energy_ca
79012000,9903.01.13,energy_ca
79020000,9903.01.13,energy_ca
79031000,9903.01.13,energy_ca
79039030,9903.01.13,energy_ca
79039060,9903.01.13,energy_ca
80011000,9903.01.13,energy_ca
80012000,9903.01.13,energy_ca
80070032,9903.01.13,energy_ca
81011000,9903.01.13,energy_ca
81019400,9903.01.13,energy_ca
81019700,9903.01.13,energy_ca
81019910,9903.01.13,energy_ca
81032000,9903.01.13,energy_ca
81033000,9903.01.13,energy_ca
81039100,9903.01.13,energy_ca
81039900,9903.01.13,energy_ca
81041100,9903.01.13,energy_ca
81041900,9903.01.13,energy_ca
81042000,9903.01.13,energy_ca
81043000,9903.01.13,energy_ca
81049000,9903.01.13,energy_ca
