hts8,category,country_group,ch99_code
29036990,pharma,eu,9903.02.77
29037101,pharma,eu,9903.02.77
29037700,pharma,eu,9903.02.77
29037800,pharma,eu,9903.02.77
29037990,pharma,eu,9903.02.77
29038100,pharma,eu,9903.02.77
29038915,pharma,eu,9903.02.77
29038920,pharma,eu,9903.02.77
29038970,pharma,eu,9903.02.77
29039200,pharma,eu,9903.02.77
29039300,pharma,eu,9903.02.77
29039400,pharma,eu,9903.02.77
29039920,pharma,eu,9903.02.77
29039980,pharma,eu,9903.02.77
29041032,pharma,eu,9903.02.77
29041050,pharma,eu,9903.02.77
29042010,pharma,eu,9903.02.77
29042015,pharma,eu,9903.02.77
29042020,pharma,eu,9903.02.77
29042030,pharma,eu,9903.02.77
29042035,pharma,eu,9903.02.77
29042040,pharma,eu,9903.02.77
29042045,pharma,eu,9903.02.77
29042050,pharma,eu,9903.02.77
29049904,pharma,eu,9903.02.77
29049908,pharma,eu,9903.02.77
29049915,pharma,eu,9903.02.77
29049920,pharma,eu,9903.02.77
29049930,pharma,eu,9903.02.77
29049935,pharma,eu,9903.02.77
29049940,pharma,eu,9903.02.77
29049947,pharma,eu,9903.02.77
29049950,pharma,eu,9903.02.77
29051120,pharma,eu,9903.02.77
29051200,pharma,eu,9903.02.77
29051300,pharma,eu,9903.02.77
29051910,pharma,eu,9903.02.77
29051990,pharma,eu,9903.02.77
29052210,pharma,eu,9903.02.77
29052220,pharma,eu,9903.02.77
29052250,pharma,eu,9903.02.77
29052990,pharma,eu,9903.02.77
29053100,pharma,eu,9903.02.77
29053200,pharma,eu,9903.02.77
29053990,pharma,eu,9903.02.77
29054920,pharma,eu,9903.02.77
29054950,pharma,eu,9903.02.77
29055100,pharma,eu,9903.02.77
29055910,pharma,eu,9903.02.77
29055990,pharma,eu,9903.02.77
29061100,pharma,eu,9903.02.77
29061950,pharma,eu,9903.02.77
29062960,pharma,eu,9903.02.77
29071100,pharma,eu,9903.02.77
29071910,pharma,eu,9903.02.77
29071920,pharma,eu,9903.02.77
29071940,pharma,eu,9903.02.77
29071980,pharma,eu,9903.02.77
29072990,pharma,eu,9903.02.77
29081910,pharma,eu,9903.02.77
29081935,pharma,eu,9903.02.77
29081960,pharma,eu,9903.02.77
29089912,pharma,eu,9903.02.77
29089915,pharma,eu,9903.02.77
29089925,pharma,eu,9903.02.77
29091100,pharma,eu,9903.02.77
29091918,pharma,eu,9903.02.77
29091960,pharma,eu,9903.02.77
29092000,pharma,eu,9903.02.77
29093040,pharma,eu,9903.02.77
29093060,pharma,eu,9903.02.77
29094905,pharma,eu,9903.02.77
29094910,pharma,eu,9903.02.77
29094915,pharma,eu,9903.02.77
29094920,pharma,eu,9903.02.77
29094960,pharma,eu,9903.02.77
29095020,pharma,eu,9903.02.77
29095040,pharma,eu,9903.02.77
29095045,pharma,eu,9903.02.77
29095050,pharma,eu,9903.02.77
29101000,pharma,eu,9903.02.77
29103000,pharma,eu,9903.02.77
29104000,pharma,eu,9903.02.77
29105000,pharma,eu,9903.02.77
29109010,pharma,eu,9903.02.77
29109020,pharma,eu,9903.02.77
29109091,pharma,eu,9903.02.77
29110010,pharma,eu,9903.02.77
29110050,pharma,eu,9903.02.77
29121950,pharma,eu,9903.02.77
29122960,pharma,eu,9903.02.77
29124926,pharma,eu,9903.02.77
29126000,pharma,eu,9903.02.77
29141110,pharma,eu,9903.02.77
29141900,pharma,eu,9903.02.77
29142930,pharma,eu,9903.02.77
29142950,pharma,eu,9903.02.77
29143990,pharma,eu,9903.02.77
29144040,pharma,eu,9903.02.77
29144090,pharma,eu,9903.02.77
29145010,pharma,eu,9903.02.77
29145030,pharma,eu,9903.02.77
29145050,pharma,eu,9903.02.77
29146200,pharma,eu,9903.02.77
29146921,pharma,eu,9903.02.77
29146990,pharma,eu,9903.02.77
29147100,pharma,eu,9903.02.77
29147910,pharma,eu,9903.02.77
29147940,pharma,eu,9903.02.77
29147960,pharma,eu,9903.02.77
29147990,pharma,eu,9903.02.77
29152100,pharma,eu,9903.02.77
29152400,pharma,eu,9903.02.77
29152930,pharma,eu,9903.02.77
29152950,pharma,eu,9903.02.77
29153200,pharma,eu,9903.02.77
29153600,pharma,eu,9903.02.77
29153910,pharma,eu,9903.02.77
29153931,pharma,eu,9903.02.77
29153935,pharma,eu,9903.02.77
29153940,pharma,eu,9903.02.77
29153945,pharma,eu,9903.02.77
29153947,pharma,eu,9903.02.77
29153970,pharma,eu,9903.02.77
29153990,pharma,eu,9903.02.77
29154010,pharma,eu,9903.02.77
29154020,pharma,eu,9903.02.77
29154030,pharma,eu,9903.02.77
29154050,pharma,eu,9903.02.77
29155020,pharma,eu,9903.02.77
29159010,pharma,eu,9903.02.77
29159014,pharma,eu,9903.02.77
29159018,pharma,eu,9903.02.77
29159020,pharma,eu,9903.02.77
29159050,pharma,eu,9903.02.77
29161600,pharma,eu,9903.02.77
29161930,pharma,eu,9903.02.77
29161950,pharma,eu,9903.02.77
29162050,pharma,eu,9903.02.77
29163130,pharma,eu,9903.02.77
29163150,pharma,eu,9903.02.77
29163915,pharma,eu,9903.02.77
29163917,pharma,eu,9903.02.77
29163946,pharma,eu,9903.02.77
29163979,pharma,eu,9903.02.77
29171300,pharma,eu,9903.02.77
29171910,pharma,eu,9903.02.77
29171915,pharma,eu,9903.02.77
29171917,pharma,eu,9903.02.77
29171920,pharma,eu,9903.02.77
29171923,pharma,eu,9903.02.77
29171927,pharma,eu,9903.02.77
29171930,pharma,eu,9903.02.77
29171935,pharma,eu,9903.02.77
29171940,pharma,eu,9903.02.77
29171970,pharma,eu,9903.02.77
29172000,pharma,eu,9903.02.77
29173401,pharma,eu,9903.02.77
29173700,pharma,eu,9903.02.77
29173930,pharma,eu,9903.02.77
29181151,pharma,eu,9903.02.77
29181200,pharma,eu,9903.02.77
29181350,pharma,eu,9903.02.77
29181400,pharma,eu,9903.02.77
29181650,pharma,eu,9903.02.77
29181800,pharma,eu,9903.02.77
29181915,pharma,eu,9903.02.77
29181920,pharma,eu,9903.02.77
29181931,pharma,eu,9903.02.77
29181960,pharma,eu,9903.02.77
29181990,pharma,eu,9903.02.77
29182110,pharma,eu,9903.02.77
29182210,pharma,eu,9903.02.77
29182250,pharma,eu,9903.02.77
29182310,pharma,eu,9903.02.77
