date,label,etr,matched_imports_b,total_imports_b,etr_tpc
2025-03-17,Fentanyl,0.10052184589703957,1538.606843345,3123.773412637,0.08000116093704918
2025-04-17,Liberation Day,0.14187418156311032,2296.625181084,3123.773412637,0.23492093935854452
2025-07-17,S232 increase,0.15434906357793485,2270.872650344,3123.773412637,0.1536546403300146
2025-10-17,Phase 2,0.15424268833128388,2269.987071853,3123.773412637,0.18226519036392905
2025-11-17,Nov 2025,0.1520147362686269,2269.961147856,3123.773412637,0.16160690293324848
2026-02-25,Current,0.09753830907072551,2959.787849956,3123.773412637,NA
