date,label,gtap_code,etr,total_imports,etr_tpc
2025-03-17,Fentanyl,b_t,0.09434227748421367,33811481721,0.09448500459224278
2025-03-17,Fentanyl,bph,0.015713562737484962,240968721014,0.015872094347231427
2025-03-17,Fentanyl,c_b,3.608465718012344e-4,19029833,2.979689837530366e-4
2025-03-17,Fentanyl,chm,0.05861241942855102,141777162626,0.061926655469720336
2025-03-17,Fentanyl,cmt,0.006040116313626779,12558535405,0.006046132693413405
2025-03-17,Fentanyl,coa,0.07001838527100555,360772490,0.012119814207563334
2025-03-17,Fentanyl,ctl,0.00809747358904064,3875491461,0.008101660944427696
2025-03-17,Fentanyl,eeq,0.15081381263308669,230169615281,0.12080846427204722
2025-03-17,Fentanyl,ele,0.11021934541048972,539596009664,0.10040346034994503
2025-03-17,Fentanyl,ely,0.25,2289715638,0
2025-03-17,Fentanyl,fmp,0.23645154027219828,77477244720,0.23412477037514762
2025-03-17,Fentanyl,frs,0.1335886894572344,735788633,0.13338593658730608
2025-03-17,Fentanyl,fsh,0.12018270700584431,3348264984,0.12026582153228171
2025-03-17,Fentanyl,gas,0.08389671324884655,5897633832,9.47846654987108e-5
2025-03-17,Fentanyl,gro,0.12282789418297298,885221468,0.12282802296419228
2025-03-17,Fentanyl,i_s,0.26302232024040534,43045869872,0.22917068206893168
2025-03-17,Fentanyl,lea,0.11121036311004431,40210655857,0.08722655610304002
2025-03-17,Fentanyl,lum,0.12997011460991592,23699786518,0.12827926681547563
2025-03-17,Fentanyl,mil,8.521390490935322e-4,4120632400,4.180372625780311e-4
2025-03-17,Fentanyl,mvh,0.12975859078672664,384092071115,0.0448954888965617
2025-03-17,Fentanyl,nfm,0.11141114111634544,76554587400,0.10640239336248068
2025-03-17,Fentanyl,nmm,0.10585957146146793,30318646021,0.09593376198206105
2025-03-17,Fentanyl,oap,0.10437345021877828,2667614833,0.1002604683095661
2025-03-17,Fentanyl,ocr,0.017602983600415165,13478511330,0.017211434746527605
2025-03-17,Fentanyl,ofd,0.05531618299288534,89560006364,0.05491588322520668
2025-03-17,Fentanyl,oil,0.060427150778349016,155382135148,0.010123776791608837
2025-03-17,Fentanyl,ome,0.09217982439484616,277181275351,0.09559063328289817
2025-03-17,Fentanyl,omf,0.12297678253936802,226522748337,0.11006122302101437
2025-03-17,Fentanyl,omt,0.06415194936654613,4046838608,0.06683258291252814
2025-03-17,Fentanyl,osd,0.07724777823369011,1201188549,0.07724673826812763
2025-03-17,Fentanyl,otn,0.0820043602228478,76644674436,0.08459752218471846
2025-03-17,Fentanyl,oxt,0.07996161685777224,6713013319,0.05871765369527101
2025-03-17,Fentanyl,p_c,0.028966114668473854,77503577410,0.013274134578464632
2025-03-17,Fentanyl,pcr,0.017432069664973886,1466325390,0.01743211432189345
2025-03-17,Fentanyl,pdr,0,63626,0
2025-03-17,Fentanyl,pfb,0.012277802846352005,57331630,0.006125483437327702
2025-03-17,Fentanyl,ppp,0.16553017391158187,31179820006,0.15729759024697956
2025-03-17,Fentanyl,rpp,0.09369107657110973,86443956520,0.078089775025033
2025-03-17,Fentanyl,sgr,0.027769737574114373,3135413597,0.02776971631143309
2025-03-17,Fentanyl,tex,0.16274355792409412,35052180120,0.10249253952751133
2025-03-17,Fentanyl,v_f,0.02025442239952449,36805296163,0.020290520581893467
2025-03-17,Fentanyl,vol,0.017911948509027144,15924828501,0.017937091119538697
2025-03-17,Fentanyl,wap,0.07121301760097486,86216960880,0.062473932143353124
2025-03-17,Fentanyl,wht,0.020597999911435527,764189160,0.020600411304120044
2025-03-17,Fentanyl,wol,0.0018387587595962958,12525406,0.0018387587595962958
2025-04-17,Liberation Day,b_t,0.15055451570799855,33811481721,0.15999019753743557
2025-04-17,Liberation Day,bph,0.01664067166083365,240968721014,0.02066168310811183
2025-04-17,Liberation Day,c_b,0.01981522118454744,19029833,0.020379259239952343
2025-04-17,Liberation Day,chm,0.10052738462626906,141777162626,0.17970226158078195
