date,label,partner,etr,import_share,etr_tpc
2025-03-17,Fentanyl,canada,0.11769395236488761,0.1256381509716136,0.0929779903563266
2025-03-17,Fentanyl,china,0.28060686465299167,0.1338082712517063,0.30991304023277594
2025-03-17,Fentanyl,eu,0.031995426431584956,0.1800468185009029,0.009543956865122747
2025-03-17,Fentanyl,ftrow,0.04251710442025993,0.09236819770945712,0.0111807687384073
2025-03-17,Fentanyl,japan,0.0818478313992229,0.046374475142456156,0.01011410152362622
2025-03-17,Fentanyl,mexico,0.12702621430915598,0.1573785517560932,0.12818702772524793
2025-03-17,Fentanyl,row,0.01208077547548119,0.24443580126620734,0.012510855314281382
2025-03-17,Fentanyl,uk,0.051450346983229915,0.019949733401563384,0.009142926707466852
2025-04-17,Liberation Day,canada,0.11769395236488761,0.1256381509716136,0.0929953115149653
2025-04-17,Liberation Day,china,0.36074117471509826,0.1338082712517063,1.1373408245354486
2025-04-17,Liberation Day,eu,0.0755700079444164,0.1800468185009029,0.08453362833727332
2025-04-17,Liberation Day,ftrow,0.10704076200297676,0.09236819770945712,0.09549063609800171
2025-04-17,Liberation Day,japan,0.14485888190680574,0.046374475142456156,0.13644405042190436
2025-04-17,Liberation Day,mexico,0.12702621430915598,0.1573785517560932,0.12825583952586436
2025-04-17,Liberation Day,row,0.09292748160478026,0.24443580126620734,0.07340307368003
2025-04-17,Liberation Day,uk,0.12652107255169479,0.019949733401563384,0.10503290032567632
2025-07-17,S232 increase,canada,0.15076230127339826,0.1256381509716136,0.10667655363220072
2025-07-17,S232 increase,china,0.36577463280866107,0.1338082712517063,0.42416882958510155
2025-07-17,S232 increase,eu,0.07788121309504713,0.1800468185009029,0.10018055023704918
2025-07-17,S232 increase,ftrow,0.11084515489822794,0.09236819770945712,0.11575660587495346
2025-07-17,S232 increase,japan,0.1492751264253109,0.046374475142456156,0.16034475219064545
2025-07-17,S232 increase,mexico,0.13097292334426094,0.1573785517560932,0.13782511505925701
2025-07-17,S232 increase,row,0.09471385685647855,0.24443580126620734,0.09993747307230308
2025-07-17,S232 increase,uk,0.13057242949428413,0.019949733401563384,0.05244859665038915
2025-10-17,Phase 2,canada,0.15076230127339826,0.1256381509716136,0.14274892685793683
2025-10-17,Phase 2,china,0.36577463280866107,0.1338082712517063,0.44081462540460986
2025-10-17,Phase 2,eu,0.09639769758742436,0.1800468185009029,0.09254774882605822
2025-10-17,Phase 2,ftrow,0.13231380960537495,0.09236819770945712,0.1378129906497686
2025-10-17,Phase 2,japan,0.17817495748921644,0.046374475142456156,0.1310354192062543
2025-10-17,Phase 2,mexico,0.13097292334426094,0.1573785517560932,0.15369743600635766
2025-10-17,Phase 2,row,0.22383787238685685,0.24443580126620734,0.18104419489416476
2025-10-17,Phase 2,uk,0.13057242949428413,0.019949733401563384,0.05810426899999611
2025-11-17,Nov 2025,canada,0.15076230127339826,0.1256381509716136,0.14240107722172568
2025-11-17,Nov 2025,china,0.36577463280866107,0.1338082712517063,0.34068317820544214
2025-11-17,Nov 2025,eu,0.09639769758742436,0.1800468185009029,0.09203099383465597
2025-11-17,Nov 2025,ftrow,0.12568327288766973,0.09236819770945712,0.10411403504535464
2025-11-17,Nov 2025,japan,0.17817495748921644,0.046374475142456156,0.1316925358245959
2025-11-17,Nov 2025,mexico,0.13097292334426094,0.1573785517560932,0.153636332576872
2025-11-17,Nov 2025,row,0.20850072517633944,0.24443580126620734,0.16462005619217127
2025-11-17,Nov 2025,uk,0.13057242949428413,0.019949733401563384,0.0603672689918363
2026-02-25,Current,canada,0.03853882542345963,0.1256381509716136,NA
2026-02-25,Current,china,0.22547076943291453,0.1338082712517063,NA
2026-02-25,Current,eu,0.0745500514077423,0.1800468185009029,NA
2026-02-25,Current,ftrow,0.08498289188872706,0.09236819770945712,NA
2026-02-25,Current,japan,0.12571869348145154,0.046374475142456156,NA
2026-02-25,Current,mexico,0.03955877879036903,0.1573785517560932,NA
2026-02-25,Current,row,0.05618133552448287,0.24443580126620734,NA
2026-02-25,Current,uk,0.09083914245515552,0.019949733401563384,NA
